county,base_REAI,base_rank,labor_focused_REAI,labor_focused_rank,transport_focused_REAI,transport_focused_rank,policy_focused_REAI,policy_focused_rank
Stanly,58.768465797269954,11,59.401269164170614,15,60.75600157227967,7,55.526282065267274,23
Stokes,44.32223035313284,78,39.22757185558572,85,50.76697276045727,53,43.23500037931327,84
Surry,49.82573521785598,54,48.42654134290784,54,52.631280807009055,42,47.78401584981322,64
Swain,56.94296766197677,21,59.689962996120386,14,54.63733429656223,30,56.26449046938475,19
Transylvania,41.77183554108807,85,38.36100396527061,87,45.111782872877804,78,41.736590195209615,89
Tyrrell,36.87771337812431,97,33.771531965137,94,38.184637625922996,96,38.7610903325654,97
Union,48.21738935738185,62,47.721764920723786,63,46.43096167783632,74,52.78041516567323,37
Vance,49.45449409413571,56,45.42917088956136,71,52.982542286248936,38,53.05931298399439,35
Wake,69.40076356209157,1,73.90704444940539,1,67.221657955917,3,67.3703135432405,2
Warren,54.75576644042602,27,56.42110466429962,24,52.7219289069257,40,55.839330658396975,22
Washington,57.599176784638416,18,59.30748350151124,17,58.29354299669427,14,53.72699138129967,33
Watauga,49.10196407161221,58,48.22162102029997,58,51.98216857489516,47,45.24843970173186,74
Wayne,49.22855922716048,57,45.77291623089477,68,53.7038333335924,35,49.20897174198869,56
Wilkes,51.965692383509136,38,48.408979342737275,55,54.76622597227437,29,56.555779204112056,17
Wilson,46.67279827168829,72,45.71399082293196,69,49.22700715055579,64,42.98012481362466,85
Yadkin,50.25466977306104,48,51.681762285150725,36,47.289373566560776,67,52.57734303964439,40
Yancey,40.26884998666018,90,37.040729411467176,93,41.994304652511175,87,42.6447596835097,86
